joy,if,3
nor,be,3
absolute,assured,6
gay,placing,7
its,forfeited,9
extremely,extremely,0
ham,perpetual,9
any,now,3
his,led,3
departure,contented,9
for,collected,8
contained,sincerity,8
curiosity,additions,8
defective,discourse,7
way,him,3
now,breakfast,9
instrument,contained,8
had,strangers,9
eat,now,3
diminution,extremity,10
melancholy,they,10
expression,in,10
sentiments,by,10
stimulated,my,10
one,able,4
built,mean,5
fat,me,3
you,style,5
out,ask,3
manor,death,5
books,delay,5
mrs,every,5
interested,for,10
now,conviction,9
his,had,2
affronting,impression,8
inquietude,prosperous,9
contrasted,gay,10
cultivated,happiness,9
lasting,attempted,9
showing,yet,7
expense,curiosity,8
greater,excellent,9
on,promotion,9
colonel,how,6
no,recurred,8
on,marriage,8
insensible,settling,10
possession,get,10
oh,supplied,8
particular,ignorant,10
attachment,all,9
at,possible,8
excellence,she,10
in,exeter,6
the,may,3
books,eldest,5
arose,say,5
but,others,6
miles,off,5
happy,enough,6
she,direct,6
it,discretion,10
building,boisterous,8
contempt,unsatiable,10
or,particular,10
interest,conviction,10
children,indulgence,8
mistress,at,8
of,no,2
unlocked,concerns,8
no,her,3
offending,expenses,7
she,out,3
contained,declared,8
mrs,consider,8
led,chapter,7
listening,prevent,7
resembled,old,9
delicate,company,8
marianne,end,8
absolute,visitor,7
men,blushes,7
dashwood,day,6
landlord,satisfied,8
and,affection,8
offended,six,8
suppose,mrs,7
cottage,distrusts,8
between,agreement,8
and,steepest,8
way,building,8
minuter,blessing,8
him,an,3
own,if,3
clothes,our,7
but,wife,4
observe,why,7
country,set,7
agreement,than,9
far,held,4
boy,late,4
otherwise,sent,9
rapturous,what,8
incommode,to,9
favourite,half,8
name,neat,3
were,high,4
we,am,2
at,view,4
hope,sigh,4
remainder,bed,8
household,fact,9
direction,walk,9
zealously,tall,8
the,gave,4
unwilling,end,8
bed,mrs,3
sex,way,3
lose,expression,10
and,projecting,10
gay,reasonable,10
ham,on,3
sake,motionless,10
met,or,3
that,frequently,10
stood,apartments,10
her,no,3
place,drawing,6
one,placing,7
ten,picture,7
spoke,or,5
yet,mr,3
head,luckily,7
case,esteems,6
knew,it,4
ever,esteem,5
set,direct,6
why,who,1
over,adieus,6
marianne,say,7
returned,too,8
of,temper,6
peculiar,spirit,8
replying,esteem,8
in,boy,3
moderate,way,8
roused,venture,7
get,for,3
enable,fertile,7
garret,end,6
estate,nothing,6
old,calling,7
county,of,6
entreaties,existence,8
you,deficient,9
devonshire,unfeeling,10
law,eagerness,8
dissimilar,he,10
terminated,consulted,10
